L,margin,margin2,total,total2,deficit,n_primes,g_log2,validation
1.35,-0.8568647893090066,-0.5224509318608662,-1.1448902034072897e-13,-9.761822310251294e-14,2.1234371310626563,9,0.20912052410160947,4.974195961329887e-06
1.3763,-0.8789744825151394,-0.5423455652766481,-6.371959989211196e-14,-6.025022299876516e-14,2.25900982780682,9,0.6928002549481774,4.121286779511948e-06
1.3963,-0.8956130278154549,-0.5572422984328503,-9.345732926217511e-14,-5.637528820679394e-14,2.269818417479979,10,0.5247776140513514,3.731020775304745e-06
1.4,-0.8986752813012727,-0.5599767221303067,-1.1432711236166283e-13,-1.0669176827350082e-13,2.2686286528328394,10,0.5491489097526102,2.9907011870838776e-06
1.4066,-0.9041256188059646,-0.5648380102009125,-1.554616407939298e-13,-1.382565017598183e-13,2.285875553353853,10,-0.04333521218212288,2.88364841365955e-06
1.4266,-0.9205493875495898,-0.5794436505600086,-6.156826956695459e-12,-1.7347989291562553e-13,2.3331538257944135,11,0.6418805620380275,2.3018835231674364e-06
1.45,-0.9395962176424876,-0.5962981039388309,-2.2052135559468176e-12,-4.923467716220048e-14,2.3893953353844832,11,0.6632167315618289,2.2084778722535795e-06
1.4622,-0.949457599602924,-0.6049880647408581,-1.6481486670026052e-13,-9.264710091904808e-14,2.4169003505420035,11,0.07963422304031749,2.1675816402697517e-06
1.4822,-0.9655255247258157,-0.6190940141359226,-1.043654935051053e-13,-6.993043504782627e-14,2.4291433487896543,12,-0.04293743123867369,1.7555838882618882e-06
1.5,-0.9797277361041135,-0.6315054555481369,-1.2082191014705193e-13,-6.147048476102515e-14,2.431103978824637,12,-0.2114291359663943,1.7511554485586543e-06
1.55,-1.0191607463042835,-0.6656807295229797,-1.1442932843111397e-13,-1.055467407368752e-13,2.5124855895343816,12,0.14835650612131338,1.4862453650434026e-06
1.5577,-1.0251767895438855,-0.6708568116096416,-6.270613802921767e-14,-4.6294643182966405e-14,2.586408825323063,12,-0.24920034294467233,1.045694224339381e-06
1.5777,-1.0407366539870138,-0.6841970794223844,-5.350145375882373e-14,-4.769074405754418e-14,2.6853944946688113,13,-0.3976078884646107,1.0782441059627975e-06
1.5994,-1.057515468929531,-0.6985053000365722,-7.041682084370754e-14,-4.508550531372208e-14,2.6959642276035916,13,-0.17540042684373414,1.3025511772166018e-06
1.6,-1.0579779284709196,-0.6988985095096315,-1.9711980464955426e-13,-1.2606946206666127e-13,2.695688394316248,13,0.1143170886015772,1.2842912114521815e-06
1.6194,-1.072889627803543,-0.7115438776373975,-6.676973242946373e-14,-5.558228578859108e-14,2.7676763183776596,14,-0.3959423091308005,1.0143633747795302e-06
1.6379,-1.0870374454217344,-0.7234815241230104,-1.296018964876451e-13,-1.1463763044747837e-13,2.788865768555452,14,0.20776435743370938,7.77621519566037e-07
1.65,-1.0962545698966562,-0.7312269049644687,-1.5582295247002088e-13,-1.18109784137727e-13,2.7875523107521456,15,0.3398213696789942,1.059092762268338e-06
1.6579,-1.1022574533450358,-0.7362575850925134,-1.5967787353593408e-13,-1.241866998514901e-13,2.8048033954062253,15,0.10253805653820648,8.072730543515275e-07
1.6736,-1.1141533268449,-0.7461949114330358,-1.3963151018433498e-13,-1.185439787470131e-13,2.828458120063573,15,0.315848319294023,8.343306410524424e-07
1.6936,-1.12924439319503,-0.758740219860048,-1.0676294488998022e-13,-5.337558260517166e-14,2.8308608522938683,16,0.08154850361520952,7.106784324197996e-07
1.7,-1.1340592731248227,-0.7627283072676002,-3.436084984664957e-13,-2.5549305167301217e-13,2.850634302411736,16,0.2087624977034538,8.500509904038404e-07
1.707,-1.139317906975718,-0.7670758229827929,-2.3746185654425016e-13,-1.6557562196554064e-13,2.8745264710488905,16,-0.3378882386502461,7.564274460438999e-07
1.7229,-1.1512336410527493,-0.7768956135636561,-1.6919718428093076e-13,-1.5057017382999082e-13,2.924943417631397,17,0.5454142412902713,6.428371121368008e-07
1.727,-1.1542998982135864,-0.7794154912732185,-3.4702993947514585e-13,-1.8480907757993833e-13,2.9342629868306034,17,-0.23150492685597507,6.894218679328686e-07
1.7429,-1.1661671878542672,-0.7891409523856956,-1.82111164433246e-13,-1.4231356587000926e-13,2.9561739100109516,18,0.6289022712567498,5.205337536587327e-07
1.75,-1.1714545569568875,-0.7934600336951936,-1.4428621894791278e-13,-9.736455879517313e-14,2.957248232273547,18,-0.2124800276304509,6.829618088181136e-07
1.7955,-1.2051765792554179,-0.8208015862232438,-3.1342142389901383e-13,-1.558114255536427e-13,3.153386602410069,18,0.21866359936936786,4.541744732824801e-07
1.8,-1.2084973676825088,-0.8234748802497456,-3.379586699373431e-13,-2.1069927025702325e-13,3.1812841101987295,18,0.2769735955635153,5.44903161480425e-07
1.8155,-1.2199173083041484,-0.8326416371862739,-3.6298624402334336e-13,-2.8128710112310397e-13,3.250082363657678,19,-0.005112917284082417,4.589372884755591e-07
1.8468,-1.2428961069421216,-0.8509625157297402,-1.7853557234985855e-13,-1.4672115055292449e-13,3.2786661520757203,19,0.4816063181154132,3.760962318249538e-07
1.85,-1.2452395205754194,-0.8528215946158427,-2.525989283312538e-13,-2.0542870867520697e-13,3.300232447651265,19,-0.13247530900245585,4.239060477507854e-07
1.8668,-1.2575257537312146,-0.8625401165380087,-1.4934752167157764e-13,-1.301700409623799e-13,3.3456785930836146,20,0.13347584539334909,4.2416220990410473e-07
1.8706,-1.2603010037845062,-0.8647287586972747,-1.3291461800316188e-13,-1.0189460807269996e-13,3.348553526611724,20,0.11873663472183608,3.5987444786105726e-07
1.8906,-1.274885594286588,-0.8761907855515376,-1.4310690400586323e-13,-1.165637328418749e-13,3.3636522727745652,21,0.5709765779007422,4.0374936610533186e-07
1.9,-1.2817280806351852,-0.8815452856981872,-3.9890032203201733e-13,-2.418184819812313e-13,3.3711291902064517,21,-0.12418692896397118,3.431974353178614e-07
1.9151,-1.292704292806271,-0.8901037631821267,-1.3412866051758052e-13,-9.829225763773579e-14,3.381708453877568,21,0.11668051050068155,4.396200912047512e-07
1.9351,-1.3072146943586367,-0.9013597228067388,-1.1037898860614241e-11,-1.3237100601143185e-13,3.3884752049892333,22,0.7548432600293229,3.899664144167402e-07
1.9359,-1.3077944831249066,-0.9018081045071321,-2.362593064446503e-13,-1.500848040936786e-13,3.388488526639489,22,-0.1159923264974704,3.930768982303707e-07
1.95,-1.318005694106447,-0.9096877790766306,-1.937710143198715e-13,-1.9086872745624232e-13,3.386969094232794,23,0.6883388189527008,2.821998306102371e-07
1.9559,-1.3222743544579931,-0.9129721113655763,-2.331603592242642e-13,-1.993095147872557e-13,3.391567539801466,23,-0.1087585695373554,3.398266189712843e-07
1.9751,-1.3361497852937185,-0.923608530887981,-3.5445257525339933e-13,-2.411714423135728e-13,3.443360288742169,23,0.07782503528094545,2.7251849178074154e-07
1.9951,-1.3505792066574036,-0.9346060372908238,-3.456292883672851e-13,-2.166344274411312e-13,3.4910911820114663,24,-0.24408114741730197,3.0735686631705426e-07
2.0,-1.3541108815955167,-0.9372879249094574,-2.7744643069272367e-13,-2.6818111611834474e-13,3.4983515026128598,24,-0.3690379559903484,2.55454901420885e-07
